timestamp,lot_number,product_id,dimension,spec_lower,spec_upper,result,defect_type
2024-01-01 00:00:00,LOT-0001,PROD-C,50.037,49.5,50.5,OK,
2024-01-01 00:01:00,LOT-0001,PROD-B,20.028,19.8,20.2,OK,
2024-01-01 00:02:00,LOT-0001,PROD-B,20.069,19.8,20.2,OK,
2024-01-01 00:03:00,LOT-0001,PROD-A,10.051,9.9,10.1,OK,
2024-01-01 00:04:00,LOT-0001,PROD-B,20.007,19.8,20.2,OK,
2024-01-01 00:05:00,LOT-0001,PROD-A,9.936,9.9,10.1,OK,
2024-01-01 00:06:00,LOT-0001,PROD-C,49.921,49.5,50.5,OK,
2024-01-01 00:07:00,LOT-0001,PROD-A,10.009,9.9,10.1,OK,
2024-01-01 00:08:00,LOT-0001,PROD-B,20.125,19.8,20.2,OK,
2024-01-01 00:09:00,LOT-0001,PROD-A,10.028,9.9,10.1,OK,
2024-01-01 00:10:00,LOT-0001,PROD-C,50.019,49.5,50.5,OK,
2024-01-01 00:11:00,LOT-0001,PROD-A,10.031,9.9,10.1,OK,
2024-01-01 00:12:00,LOT-0001,PROD-B,19.993,19.8,20.2,OK,
2024-01-01 00:13:00,LOT-0001,PROD-B,19.961,19.8,20.2,OK,
2024-01-01 01:00:00,LOT-0002,PROD-C,49.757,49.5,50.5,OK,
2024-01-01 01:01:00,LOT-0002,PROD-A,10.013,9.9,10.1,OK,
2024-01-01 01:02:00,LOT-0002,PROD-A,9.99,9.9,10.1,OK,
2024-01-01 01:03:00,LOT-0002,PROD-B,20.014,19.8,20.2,OK,
2024-01-01 01:04:00,LOT-0002,PROD-A,9.979,9.9,10.1,OK,
2024-01-01 01:05:00,LOT-0002,PROD-C,49.967,49.5,50.5,OK,
2024-01-01 01:06:00,LOT-0002,PROD-A,10.0,9.9,10.1,OK,
2024-01-01 01:07:00,LOT-0002,PROD-C,50.013,49.5,50.5,OK,
2024-01-01 01:08:00,LOT-0002,PROD-C,49.794,49.5,50.5,OK,
2024-01-01 01:09:00,LOT-0002,PROD-C,50.088,49.5,50.5,OK,
2024-01-01 01:10:00,LOT-0002,PROD-B,19.926,19.8,20.2,OK,
2024-01-01 01:11:00,LOT-0002,PROD-C,50.003,49.5,50.5,OK,
2024-01-01 01:12:00,LOT-0002,PROD-A,9.994,9.9,10.1,OK,
2024-01-01 01:13:00,LOT-0002,PROD-C,50.257,49.5,50.5,OK,
